,Average Degree,Variance,Global Clustering Coefficient,Local Clustering Coefficient,Degree Assortativity
ba-100-0,3.94,52.425913439824775,0.04810126582278481,0.09353235653235653,-0.20706978026475084,
dms-100-0,3.94,71.85037508600773,0.12290969899665552,0.82518218226786,-0.3347297891307741,
ba-100-1,3.94,54.685248467936944,0.062021439509954056,0.1422419435636827,-0.16773082896545116,
dms-100-1,3.94,63.674770513917046,0.15995647442872687,0.7979411509543088,-0.27582777604499287,
ba-100-2,3.94,54.867808412583784,0.06610942249240122,0.1560683370636931,-0.2221799250997983,
dms-100-2,3.94,63.580471844741766,0.16048034934497818,0.8012151856915015,-0.31443818199975526,
ba-100-3,3.94,53.57682708037123,0.05778491171749599,0.10471940281940283,-0.1928735100006226,
dms-100-3,3.94,60.831541160815576,0.177001806140879,0.7959133448251096,-0.29725910404165484,
ba-100-4,3.94,55.52005403455584,0.05547337278106509,0.09916460689069385,-0.18508535231615186,
dms-100-4,3.94,65.33357789069875,0.15115681233933162,0.7865680421790262,-0.2816728951406283,
ba-100-5,3.94,57.27544325450481,0.07029634734665748,0.1492596369148093,-0.19691277500445648,
dms-100-5,3.94,70.37383320524752,0.1285526891123743,0.8052248973248973,-0.2929807049747497,
ba-100-6,3.94,55.69987791728093,0.07268722466960352,0.18744532438887276,-0.1599506708768358,
dms-100-6,3.94,60.27002903599765,0.18070067609096496,0.7939662565161016,-0.3288354312242748,
ba-100-7,3.94,57.762240261264104,0.07707910750507099,0.24534919356429655,-0.2405550174788156,
dms-100-7,3.94,69.16990964284976,0.13345438039037677,0.8070391363022942,-0.32890892397284904,
ba-100-8,3.94,55.753711984046404,0.04835164835164835,0.12017910057473624,-0.22064286413517556,
dms-100-8,3.94,69.88902918198248,0.13049267643142476,0.8098011095582643,-0.3089072630357034,
ba-100-9,3.94,52.82496000945008,0.04975124378109453,0.0887366239425063,-0.12172631802224165,
dms-100-9,3.94,64.71843941258163,0.15433070866141732,0.7974063445515058,-0.3169108840216875,
ba-100-10,3.94,57.9005733995787,0.05648957632817754,0.14469939572338372,-0.26708680304543686,
dms-100-10,3.94,65.88229200627434,0.14840989399293286,0.7955597022860181,-0.2686915528628426,
ba-100-11,3.94,59.11409645761322,0.06161745827984596,0.13857958123747596,-0.22743726021255375,
dms-100-11,3.94,63.941194859026524,0.15849056603773584,0.7970855786933373,-0.3059313997621593,
ba-100-12,3.94,57.030486583931584,0.08350730688935282,0.22022201872201871,-0.23026775982426034,
dms-100-12,3.94,64.5172566062755,0.1553911205073996,0.801390174153332,-0.28299903251647934,
ba-100-13,3.94,56.502003504300625,0.07249466950959488,0.16466164799253033,-0.14778235728450212,
dms-100-13,3.94,69.12652457631586,0.13363636363636364,0.8098435532176951,-0.32616956984397666,
ba-100-14,3.94,50.024757870478496,0.03672316384180791,0.04336769439710616,-0.11978996379908692,
dms-100-14,3.94,67.42756409659182,0.14107485604606526,0.8141990848947371,-0.3650548372199402,
ba-100-15,3.94,61.29010034255124,0.06571936056838366,0.23490094784373958,-0.2311526188929559,
dms-100-15,3.94,67.64965927482562,0.14006669842782277,0.8171983086983087,-0.3700102135980273,
ba-100-16,3.94,54.263029771659454,0.060795011691348405,0.1353656375593716,-0.18937659700472595,
dms-100-16,3.94,64.190937055008,0.15713522180652056,0.7936023314764733,-0.3154785739511159,
ba-100-17,3.94,60.68341124228268,0.07627118644067797,0.24191057772636718,-0.2765748478063024,
dms-100-17,3.94,65.4100634459255,0.15076923076923077,0.8149577547209127,-0.3027435059678114,
ba-100-18,3.94,53.98589074934302,0.07570977917981073,0.15235370778172636,-0.19334015164428622,
dms-100-18,3.94,65.54751253861583,0.15007656967840735,0.7989756528874176,-0.34234142732491196,
ba-100-19,3.94,52.69228026950437,0.057547956630525435,0.13318762155718677,-0.1772968974181963,
dms-100-19,3.94,64.79565108863402,0.15392670157068064,0.793861111111111,-0.2986728197783854,
ba-100-20,3.94,54.00441093096008,0.0425531914893617,0.08186559580770107,-0.1895832356140458,
dms-100-20,3.94,62.805066674592425,0.16489063376332025,0.796098285813803,-0.3053482094855455,
ba-100-21,3.94,50.81807158875669,0.04900181488203267,0.05323773612008906,-0.1657135337313762,
dms-100-21,3.94,67.05577081802878,0.14278776104905294,0.7952025247986511,-0.2713622963347642,
ba-100-22,3.94,55.30349356053377,0.06716417910447761,0.15581859891291938,-0.1675263062160662,
dms-100-22,3.94,64.90359312087428,0.15336463223787167,0.8017500636618284,-0.3133178633771001,
ba-100-23,3.94,53.83749994195496,0.05952380952380952,0.13506354756354758,-0.16619405231151946,
dms-100-23,3.94,67.16008040495484,0.14230396902226525,0.7967009560487821,-0.32373785904766533,
ba-100-24,3.94,53.33363291582526,0.058394160583941604,0.1398632086867381,-0.24794649868099516,
dms-100-24,3.94,61.30641402006808,0.1739644970414201,0.7958214277685827,-0.30084398800209483,
ba-100-25,3.94,51.36610166247775,0.06371681415929203,0.10303809322772171,-0.11234742173876906,
dms-100-25,3.94,64.59470876163155,0.15498154981549817,0.8006867252818866,-0.32775728461370734,
ba-100-26,3.94,51.42447277318456,0.06619593998234775,0.11182163450584502,-0.16266236735632064,
dms-100-26,3.94,65.82154966270545,0.14871016691957512,0.7958060731538993,-0.27190290485328056,
ba-100-27,3.94,61.04487202050636,0.06093189964157706,0.18763772235466714,-0.20557539812863657,
dms-100-27,3.94,67.5312994099773,0.1406025824964132,0.7973251784764943,-0.2893355835390287,
ba-100-28,3.94,56.41344166065389,0.062054208273894434,0.1304782044804928,-0.21142015338021397,
dms-100-28,3.94,68.70572319683419,0.13542146476278213,0.7997417626656756,-0.2938600806351926,
ba-100-29,3.94,49.48208160536499,0.04927536231884058,0.07622693319752143,-0.16917833001555943,
dms-100-29,3.94,63.4229958295885,0.16136114160263446,0.7937512566253985,-0.25282483593165467,
ba-100-30,3.94,52.73022283283089,0.05995004163197336,0.07140523348340685,-0.14158073251257539,
dms-100-30,3.94,65.91264218645767,0.14826021180030258,0.8021619950098211,-0.3425678063036357,
ba-100-31,3.94,54.740080379919064,0.07563025210084033,0.14521906933646064,-0.1799350651587715,
dms-100-31,3.94,61.84235118428147,0.1706326175275682,0.7972439597439598,-0.3143145820968939,
ba-100-32,3.94,52.06223583366354,0.04631217838765009,0.08358004555830643,-0.13732581901966556,
dms-100-32,3.94,60.716360233465906,0.1777509068923821,0.7824941410247257,-0.2660849578275933,
ba-100-33,3.94,54.00441093096008,0.061465721040189124,0.12263516232051702,-0.14970816645142077,
dms-100-33,3.94,68.89467613683948,0.1346153846153846,0.8066605200355199,-0.35729208737612844,
ba-100-34,3.94,54.612053614563884,0.052995391705069124,0.10893576928747206,-0.1669997514754213,
dms-100-34,3.94,64.57922576185007,0.1550632911392405,0.7993566433566435,-0.2835585237414922,
ba-100-35,3.94,53.35237951581916,0.05834683954619125,0.10428472474639523,-0.12999504490279992,
dms-100-35,3.94,64.68752893719159,0.15449290593799264,0.8033428083354553,-0.3030569766116352,
ba-100-36,3.94,55.46599318501382,0.05337286879169755,0.1053114545163881,-0.17755239765722888,
