,Variance
ba-100-0,13.736399999999998,
dms-100-0,29.636399999999995,
ba-100-1,10.816399999999996,
dms-100-1,25.2564,
ba-100-2,25.7564,
dms-100-2,29.6764,
ba-100-3,16.5364,
dms-100-3,29.056399999999996,
ba-100-4,13.896399999999998,
dms-100-4,25.2164,
ba-100-5,13.016399999999999,
dms-100-5,23.8964,
ba-100-6,17.196399999999997,
dms-100-6,30.476399999999998,
ba-100-7,18.816399999999994,
dms-100-7,25.636399999999995,
ba-100-8,14.1164,
dms-100-8,21.4364,
ba-100-9,14.236399999999998,
dms-100-9,19.996399999999994,
ba-100-10,13.3164,
dms-100-10,27.6164,
ba-100-11,25.776400000000002,
dms-100-11,18.7564,
ba-100-12,12.6164,
dms-100-12,25.596399999999996,
ba-100-13,17.376399999999997,
dms-100-13,28.016399999999997,
ba-100-14,12.716400000000002,
dms-100-14,23.336399999999998,
ba-100-15,14.6564,
dms-100-15,28.416399999999996,
ba-100-16,12.3164,
dms-100-16,25.9364,
ba-100-17,14.696399999999999,
dms-100-17,19.636399999999995,
ba-100-18,13.336400000000003,
dms-100-18,24.836399999999998,
ba-100-19,16.4964,
dms-100-19,33.9564,
ba-100-20,18.2964,
dms-100-20,31.176399999999994,
ba-100-21,13.6364,
dms-100-21,28.6764,
ba-100-22,12.896400000000002,
dms-100-22,25.736399999999996,
ba-100-23,14.8364,
dms-100-23,26.2964,
ba-100-24,13.896399999999998,
dms-100-24,27.876399999999997,
ba-100-25,9.4564,
dms-100-25,27.516399999999997,
ba-100-26,18.1164,
dms-100-26,32.3164,
ba-100-27,12.396400000000002,
dms-100-27,28.8964,
ba-100-28,10.336400000000003,
dms-100-28,24.3964,
ba-100-29,12.1364,
dms-100-29,29.156399999999998,
ba-100-30,11.7964,
dms-100-30,25.336399999999998,
ba-100-31,22.2564,
dms-100-31,23.7564,
ba-100-32,14.4364,
dms-100-32,28.7964,
ba-100-33,13.016399999999999,
dms-100-33,33.21639999999999,
ba-100-34,13.696400000000002,
dms-100-34,18.656399999999998,
ba-100-35,14.256399999999998,
dms-100-35,30.696399999999997,
ba-100-36,12.556399999999998,
dms-100-36,21.396399999999993,
ba-100-37,9.8164,
dms-100-37,29.196399999999997,
ba-100-38,21.2164,
dms-100-38,25.416400000000003,
ba-100-39,13.196399999999999,
dms-100-39,24.876399999999997,
ba-200-0,20.719100000000005,
dms-200-0,40.3191,
ba-200-1,16.9991,
dms-200-1,34.9491,
ba-200-2,12.219100000000003,
dms-200-2,48.7891,
ba-200-3,12.769099999999996,
dms-200-3,40.1591,
ba-200-4,16.399100000000004,
dms-200-4,36.6891,
ba-200-5,17.289099999999998,
dms-200-5,30.859100000000005,
ba-200-6,18.2091,
dms-200-6,33.2591,
ba-200-7,15.549100000000001,
dms-200-7,38.8391,
ba-200-8,14.599099999999998,
dms-200-8,38.5291,
ba-200-9,19.999100000000006,
dms-200-9,36.8591,
ba-200-10,16.919099999999993,
dms-200-10,41.5991,
ba-200-11,16.4191,
dms-200-11,32.7591,
ba-200-12,18.4191,
dms-200-12,38.5491,
ba-200-13,16.799100000000003,
dms-200-13,31.6391,
ba-200-14,16.079100000000004,
dms-200-14,27.789099999999998,
ba-200-15,13.709099999999998,
dms-200-15,42.009100000000004,
ba-200-16,23.9291,
dms-200-16,39.2091,
ba-200-17,18.229100000000003,
dms-200-17,41.6891,
ba-200-18,17.279099999999993,
dms-200-18,31.649099999999997,
ba-200-19,22.1791,
dms-200-19,29.289100000000005,
ba-200-20,21.9591,
dms-200-20,37.1391,
ba-200-21,17.859099999999998,
dms-200-21,35.3091,
ba-200-22,17.549100000000003,
dms-200-22,32.3191,
ba-200-23,19.679100000000005,
dms-200-23,48.369099999999996,
ba-200-24,14.339099999999997,
dms-200-24,30.369100000000003,
ba-200-25,16.469099999999997,
dms-200-25,48.25910000000001,
ba-200-26,22.719100000000005,
